Lemma,PoS,Freq(ipm),R,D,Doc
кровать,s,88.4,98,92,1568
имущество,s,88.4,100,74,2061
аппарат,s,88.2,100,94,2961
середина,s,88.2,100,95,3739
март,s,88.1,100,93,3429
клиент,s,87.9,100,91,2419
фронт,s,87.7,100,92,1768
дама,s,87.7,100,94,1886
отрасль,s,87.6,89,89,2915
стул,s,87.6,100,92,1809
беседа,s,87.5,100,95,2640
продажа,s,87.3,100,91,3607
законодательство,s,87.3,88,79,2748
повышение,s,87.2,100,90,4086
музей,s,87.0,100,93,2254
след,s,86.9,100,95,2459
сомнение,s,86.8,100,97,3479
полковник,s,86.8,100,90,1163
понимание,s,86.7,100,91,3130
апрель,s,86.2,100,92,3469
князь,s,86.0,100,81,1088
рыба,s,86.0,100,94,2060
дума,s,85.5,100,91,3153
сутки,s,85.4,100,95,2651
чудо,s,85.4,100,94,2676
кодекс,s,85.4,99,73,2052
шея,s,85.3,100,92,1879
судья,s,85.2,100,83,1677
крыша,s,85.0,100,95,2423
настроение,s,85.0,100,96,2893
поток,s,84.8,100,94,3182
преступление,s,84.6,100,88,2319
должность,s,84.6,100,91,2936
мозг,s,84.5,100,92,2187
честь,s,84.4,100,96,2806
пост,s,84.3,100,93,2849
еврей,s,84.1,100,91,1146
июнь,s,84.0,100,92,3358
сотня,s,84.0,100,96,3571
дождь,s,83.2,100,94,2143
лестница,s,83.1,100,93,1827
дача,s,82.8,100,95,1819
установка,s,82.6,100,82,2745
появление,s,82.5,100,95,3834
получение,s,82.3,99,87,3617
образец,s,82.1,100,89,3129
труба,s,82.1,100,95,2194
главное,s,82.0,100,96,3486
осень,s,81.8,100,96,3206
костюм,s,81.3,100,95,2012
баба,s,81.2,98,90,1413
ценность,s,81.2,100,91,2904
пьеса,s,81.1,100,86,1234
обязанность,s,81.1,100,83,2854
таблица,s,81.0,100,77,1947
вино,s,80.9,100,95,1907
лошадь,s,80.9,100,92,1549
воспоминание,s,80.9,100,96,2300
коллега,s,80.6,100,94,3467
организм,s,80.6,100,86,2247
учреждение,s,80.4,100,84,2622
ученик,s,80.4,99,91,2149
открытие,s,80.2,100,94,3168
том,s,80.0,100,92,2397
черта,s,80.0,100,96,3009
характеристика,s,79.9,100,83,2934
выполнение,s,79.6,100,85,3213
оборона,s,79.6,100,90,2205
выступление,s,79.5,100,91,2881
температура,s,79.5,100,88,2378
приказ,s,79.4,100,94,2020
подруга,s,79.4,100,91,1700
перспектива,s,79.4,100,93,3994
ресторан,s,79.3,100,94,1915
жертва,s,79.3,100,95,2913
километр,s,79.2,100,95,2426
спор,s,79.2,100,92,2683
вкус,s,78.9,100,96,2719
промышленность,s,78.9,99,90,2796
признак,s,78.9,100,90,2925
американец,s,78.8,100,91,2196
лоб,s,78.7,99,91,1697
заключение,s,78.6,100,87,3231
восток,s,78.5,100,93,2586
исключение,s,78.3,100,90,3643
ключ,s,78.0,100,95,2168
постановление,s,78.0,98,80,2233
слой,s,77.6,100,90,2571
бок,s,77.4,100,92,1852
июль,s,77.0,100,93,3119
перевод,s,77.0,100,91,2577
секретарь,s,77.0,99,92,2038
кусок,s,76.8,100,95,2191
слух,s,76.7,100,95,2654
польза,s,76.6,100,96,3708
звонок,s,76.5,100,94,1910
обстановка,s,76.2,100,95,2871
чиновник,s,75.9,99,91,3074
соглашение,s,75.8,97,84,2161
русский,s,75.7,100,95,2103
