Lemma,PoS,Freq(ipm),R,D,Doc
высший,a,147.8,100,95,4833
темный,a,146.0,100,91,2802
гражданский,a,144.7,100,87,3628
внешний,a,140.3,100,92,4801
боевой,a,139.6,100,91,2694
рабочий,a,138.0,100,94,4950
глубокий,a,137.3,100,96,4406
долгий,a,135.5,100,97,4654
прямой,a,134.8,100,95,5124
финансовый,a,134.5,100,91,4928
открытый,a,134.4,100,97,5078
знакомый,a,133.4,100,96,3538
нынешний,a,132.3,100,92,6265
исторический,a,130.4,100,88,3714
народный,a,130.3,100,93,4303
знаменитый,a,129.4,100,94,4004
больший,a,128.9,100,95,5679
пустой,a,127.5,100,94,3030
очередной,a,127.4,100,95,5153
судебный,a,126.1,100,78,1967
зеленый,a,124.4,100,95,3278
немецкий,a,123.6,100,95,2992
золотой,a,123.5,100,96,3478
технический,a,123.4,100,89,4712
нормальный,a,123.2,100,95,4470
городской,a,122.4,100,95,4438
соответствующий,a,121.8,100,85,5001
любимый,a,120.4,100,96,3743
родной,a,120.3,100,96,3957
западный,a,120.2,100,93,4157
быстрый,a,119.8,100,97,4403
холодный,a,119.0,100,96,3212
конкретный,a,118.1,100,91,4946
иностранный,a,117.4,100,87,3788
левый,a,117.2,100,96,2876
счастливый,a,117.2,100,96,3042
святой,a,115.8,100,80,2541
точный,a,115.7,100,97,4353
частый,a,114.6,100,96,4459
значительный,a,113.9,99,91,5323
связанный,a,113.2,100,91,5089
уверенный,a,112.5,100,96,3916
тонкий,a,112.4,100,95,3163
центральный,a,112.4,100,93,4762
будущий,a,111.7,100,95,4727
физический,a,109.8,100,88,3488
частный,a,108.7,100,93,4298
мелкий,a,108.5,100,97,3627
английский,a,108.4,100,94,3206
постоянный,a,108.4,100,94,4823
тихий,a,107.3,100,94,2634
европейский,a,104.9,100,92,4016
отечественный,a,104.3,100,92,4778
ближайший,a,104.3,100,95,5334
теплый,a,104.0,100,95,3015
духовный,a,103.7,100,87,2334
прежний,a,103.6,100,96,3622
французский,a,101.5,100,94,2965
профессиональный,a,101.5,100,92,4043
женский,a,101.4,100,96,2858
крайний,a,101.3,100,97,4208
божий,a,99.9,100,64,1827
дальнейший,a,99.6,100,92,4947
естественный,a,98.7,100,93,3831
информационный,a,98.5,94,84,2730
железный,a,98.3,100,95,2649
горячий,a,98.0,100,96,3141
веселый,a,97.7,99,94,2515
официальный,a,96.4,100,92,4275
серый,a,96.1,100,93,2202
опасный,a,95.7,100,97,3526
слабый,a,94.1,100,97,3426
яркий,a,93.9,100,97,3664
летний,a,93.2,100,94,4078
дополнительный,a,93.1,100,91,4723
правильный,a,92.4,100,97,3846
лесной,a,92.2,100,84,1614
умный,a,91.5,100,96,2619
северный,a,91.2,100,94,3355
ясный,a,90.8,100,96,3087
милый,a,90.7,99,94,2226
светлый,a,90.5,100,93,2752
редкий,a,90.2,100,97,3300
верный,a,89.8,100,97,3187
юридический,a,89.6,99,78,2505
административный,a,88.8,99,73,2501
узкий,a,88.3,100,91,2615
художественный,a,88.1,100,91,2531
древний,a,87.6,100,94,2535
массовый,a,87.5,100,92,3878
генеральный,a,87.4,100,91,3493
замечательный,a,87.4,100,95,3020
региональный,a,86.9,87,89,3282
задний,a,86.9,100,84,2162
здоровый,a,86.6,100,97,2997
активный,a,85.7,100,91,4309
литературный,a,85.7,99,93,1825
острый,a,85.1,100,97,3134
богатый,a,85.0,100,96,3582
творческий,a,85.0,100,92,2904
