Lemma,PoS,Freq(ipm),R,D,Doc
размер,s,189.3,100,80,5725
удаться,v,189.1,100,96,7051
образование,s,188.9,100,90,5516
получать,v,188.2,100,95,7470
Владимир,s.PROP,188.0,100,92,6295
мальчик,s,188.0,100,92,2783
кровь,s,187.8,100,95,3643
район,s,187.8,100,93,5771
небо,s,187.6,100,94,3396
американский,a,186.5,100,92,5025
армия,s,186.4,100,92,3483
класс,s,185.8,100,95,4615
представитель,s,185.7,100,91,7474
участие,s,185.6,100,91,7659
девочка,s,185.1,100,92,2621
политика,s,184.9,100,92,5734
сначала,adv,184.6,100,97,5562
герой,s,184.0,100,93,3957
широкий,a,183.9,100,93,6315
картина,s,183.9,100,94,4400
доллар,s,183.1,100,92,5010
спина,s,183.1,100,92,2826
территория,s,182.9,100,90,5941
мировой,a,182.3,100,92,6039
пол,s,181.9,100,94,3533
тяжелый,a,180.3,100,97,4849
поле,s,180.2,100,95,4716
довольно,adv,180.2,100,97,5690
ж,part,179.9,100,92,3284
изменение,s,179.8,100,87,6131
умереть,v,179.7,100,95,3620
течение,s,179.2,100,93,7140
более,num,179.2,100,93,8296
направление,s,179.2,100,92,6394
рисунок,s,179.2,100,76,2764
возможный,a,179.1,100,93,7299
церковь,s,178.6,100,85,2384
банк,s,178.1,100,91,3259
отдельный,a,177.5,100,92,6689
средний,a,177.3,100,91,6279
красивый,a,177.2,100,96,4273
сцена,s,177.2,100,92,2926
население,s,176.5,100,91,5340
большинство,s,176.1,100,93,7491
сесть,v,175.9,100,93,3211
случиться,v,175.8,100,96,4433
двадцать,num,175.8,99,94,3648
музыка,s,175.7,100,94,3440
короткий,a,175.6,100,93,4629
правда,s,175.5,100,96,3916
проходить,v,175.4,100,97,6432
составлять,v,175.0,100,91,7477
свобода,s,174.9,100,92,4194
память,s,174.5,100,97,4108
приходиться,v,174.5,100,97,6442
причем,conj,174.4,100,95,7310
команда,s,174.2,100,92,3859
установить,v,174.0,100,85,6094
союз,s,173.9,100,92,4528
будто,conj,173.8,100,90,2629
поднять,v,173.8,100,93,3686
врач,s,173.1,100,94,3401
серьезный,a,173.0,100,95,6744
договор,s,172.8,100,73,3254
стараться,v,172.8,100,96,4402
уметь,v,172.5,100,96,4360
встать,v,172.1,100,93,3548
интересный,a,171.9,100,96,6125
дерево,s,171.9,100,95,3504
факт,s,171.3,100,94,5877
добрый,a,171.1,100,96,4317
всего,part,170.7,100,96,7094
хозяин,s,170.6,100,94,3864
национальный,a,170.3,100,92,5155
однажды,adv,170.2,99,95,3546
длинный,a,170.1,100,94,3436
природа,s,169.9,100,93,4373
домой,adv,169.6,100,94,3448
страшный,a,169.1,100,95,3975
прошлый,a,169.0,100,94,7774
будто,part,168.5,100,93,3152
угол,s,168.1,100,95,3539
общественный,a,168.1,100,91,5206
чтоб,conj,168.0,100,91,2580
телефон,s,167.8,100,94,3648
позиция,s,167.6,100,93,5760
проводить,v,167.6,100,95,6915
скоро,adv,167.3,100,96,4571
наиболее,adv,167.2,100,90,6900
двор,s,166.9,100,93,2953
обычно,adv,166.7,100,96,5446
Сталин,s.PROP,166.7,99,83,1280
бросить,v,166.5,100,93,3369
разве,part,166.4,99,95,3965
писатель,s,166.3,100,93,2666
самолет,s,166.1,100,92,2777
объем,s,165.8,100,89,5872
далеко,adv,165.5,100,97,5424
род,s,165.5,100,94,5260
солнце,s,165.2,100,94,3127
