Lemma,PoS,Freq(ipm),R,D,Doc
производственный,a,56.0,99,89,2393
школьный,a,55.8,100,95,1940
передний,a,55.6,100,81,1564
ценный,a,55.5,100,91,2365
каменный,a,55.5,100,94,1607
предыдущий,a,55.3,100,94,3087
солнечный,a,55.2,100,95,1918
жизненный,a,55.1,100,94,2329
смешной,a,55.0,99,94,1858
несчастный,a,54.9,100,95,1920
арбитражный,a,54.8,61,72,622
случайный,a,54.8,100,96,2230
обязанный,a,54.5,100,88,2320
горный,a,54.3,100,91,1594
зарубежный,a,54.0,100,91,2719
юный,a,53.8,100,95,2036
положительный,a,53.7,100,91,2744
довольный,a,53.4,100,95,1995
телефонный,a,53.3,100,95,1715
японский,a,53.2,100,89,1724
указанный,a,53.1,100,77,1965
деловой,a,53.0,100,95,2342
минимальный,a,52.7,97,72,2294
электронный,a,52.4,99,90,2153
одинаковый,a,52.3,100,94,2421
химический,a,52.2,100,85,1654
временной,a,51.5,100,91,2374
еврейский,a,51.2,100,91,956
опытный,a,51.1,100,95,2358
окружающий,a,51.1,100,85,2096
космический,a,51.0,100,91,1336
меньший,a,50.9,100,93,2844
тайный,a,50.8,100,95,1612
закрытый,a,50.7,100,97,2327
отличный,a,50.7,100,96,2280
ведущий,a,50.4,98,92,2943
уникальный,a,49.9,99,92,2899
верховный,a,49.9,97,89,1445
популярный,a,49.7,100,92,2731
взрослый,a,49.5,100,96,1973
розовый,a,49.3,100,93,1443
скромный,a,49.2,99,95,2254
технологический,a,49.2,89,86,1923
старинный,a,49.1,100,96,1855
непонятный,a,48.8,100,95,1848
независимый,a,48.7,100,93,2539
бесконечный,a,48.7,100,96,1903
нежный,a,48.5,100,95,1681
талантливый,a,48.2,100,92,1780
зимний,a,48.2,100,96,2052
мирный,a,48.1,100,94,1964
ужасный,a,47.9,100,95,1654
квадратный,a,47.7,100,93,1981
незнакомый,a,47.5,99,94,1581
строительный,a,47.5,100,90,1836
крупнейший,a,47.4,99,91,2724
действующий,a,47.2,100,91,2725
надежный,a,47.2,100,95,2538
густой,a,47.2,99,93,1436
пожилой,a,47.1,100,94,1591
очевидный,a,47.1,99,94,2646
аналогичный,a,46.7,100,89,2754
законный,a,46.7,100,84,1875
муниципальный,a,46.6,84,80,1438
неприятный,a,46.5,100,96,1866
максимальный,a,46.5,100,89,2549
особенный,a,46.0,100,96,1890
церковный,a,46.0,98,85,1044
прозрачный,a,46.0,100,96,1950
громкий,a,45.9,100,95,1918
самостоятельный,a,45.6,100,92,2325
электрический,a,45.2,100,84,1553
нервный,a,45.0,100,92,1539
заметный,a,44.8,100,96,2327
важнейший,a,44.6,96,89,2375
стратегический,a,44.6,96,91,1950
одинокий,a,44.5,100,94,1688
бюджетный,a,44.4,73,89,1744
ответственный,a,43.9,100,94,2289
рыночный,a,43.8,97,90,1938
противоположный,a,43.4,100,96,2055
крутой,a,43.4,99,95,1727
текущий,a,43.2,100,91,2386
рыжий,a,43.2,97,90,1020
ядерный,a,43.1,96,88,981
обыкновенный,a,43.0,100,96,1613
подлинный,a,42.8,99,93,1674
вынужденный,a,42.7,100,95,2141
грубый,a,42.6,100,96,1698
металлический,a,42.4,100,95,1703
абсолютный,a,42.3,100,93,2070
интеллектуальный,a,41.9,100,89,1543
статистический,a,41.9,86,76,963
необычный,a,41.8,100,96,2009
рекламный,a,41.6,98,89,1566
недавний,a,41.6,100,95,2545
служебный,a,41.2,100,92,1608
письменный,a,41.0,100,88,1456
половой,a,40.9,100,56,797
итальянский,a,40.9,100,93,1696
