Lemma,PoS,Freq(ipm),R,D,Doc
ученый,a,22.7,100,95,1010
минувший,a,22.7,98,90,1537
комсомольский,a,22.6,97,92,810
ненужный,a,22.6,100,96,1165
полевой,a,22.6,99,93,1012
управляющий,a,22.5,90,89,805
почтовый,a,22.5,100,91,946
слепой,a,22.5,99,93,991
правоохранительный,a,22.5,87,90,1182
ленинский,a,22.5,99,92,947
чуждый,a,22.4,99,94,1106
забавный,a,22.4,99,95,1081
непрерывный,a,22.4,99,90,1137
логический,a,22.4,100,84,925
встречный,a,22.4,100,94,1043
отчаянный,a,22.4,98,94,1024
чудовищный,a,22.3,99,95,970
корпоративный,a,22.3,79,89,1038
собачий,a,22.3,99,92,858
целевой,a,22.1,75,87,1084
интеллигентный,a,22.1,95,94,928
автономный,a,22.1,93,83,942
непростой,a,22.0,100,93,1445
товарный,a,22.0,97,84,857
драматический,a,22.0,97,90,881
любовный,a,22.0,98,92,878
специализированный,a,22.0,84,87,1256
мучительный,a,22.0,98,94,972
откровенный,a,21.9,99,95,1137
грузинский,a,21.9,97,89,674
татарский,a,21.9,97,51,375
стройный,a,21.9,99,95,1048
бумажный,a,21.9,100,96,1036
кадровый,a,21.9,94,90,1095
прошедший,a,21.8,99,94,1517
значимый,a,21.8,91,87,1308
действительный,a,21.8,100,88,988
израильский,a,21.8,90,80,543
фактический,a,21.7,96,87,1157
олимпийский,a,21.7,90,85,701
крохотный,a,21.7,97,93,795
организационный,a,21.7,81,87,1118
необыкновенный,a,21.6,99,93,926
установленный,a,21.6,95,71,1019
склонный,a,21.6,99,95,1240
мамин,a,21.6,93,91,579
уютный,a,21.3,97,95,1094
рациональный,a,21.3,96,87,1073
светский,a,21.3,99,93,926
дневной,a,21.3,100,94,1059
изящный,a,21.2,99,96,1105
незначительный,a,21.2,99,92,1413
валютный,a,21.1,94,90,768
архитектурный,a,21.1,97,89,878
всевозможный,a,21.1,99,94,1218
испанский,a,21.1,100,92,919
тревожный,a,21.1,97,95,1029
милицейский,a,21.0,92,92,822
магнитный,a,21.0,96,79,586
чрезвычайный,a,20.9,97,89,1001
фундаментальный,a,20.9,92,84,965
романтический,a,20.8,100,93,1027
парижский,a,20.8,99,91,819
молодежный,a,20.7,99,91,999
королевский,a,20.7,100,92,792
наружный,a,20.7,98,80,776
этнический,a,20.7,81,82,632
новенький,a,20.7,95,93,968
подробный,a,20.6,100,94,1316
вирусный,a,20.6,61,65,389
социально-экономический,a,20.6,64,85,947
защитный,a,20.5,100,90,1011
арабский,a,20.5,100,88,757
поверхностный,a,20.5,96,83,838
средневековый,a,20.5,96,79,669
звездный,a,20.4,100,92,943
равнодушный,a,20.4,100,95,1010
сердечный,a,20.3,99,95,986
передовой,a,20.3,97,93,1098
принятый,a,20.2,100,93,1384
солдатский,a,20.2,98,92,681
здешний,a,20.1,99,93,806
многолетний,a,20.1,98,94,1278
срочный,a,19.9,99,93,1032
крестьянский,a,19.8,97,94,794
молчаливый,a,19.8,99,92,828
новейший,a,19.8,99,92,1343
животный,a,19.8,99,71,697
альтернативный,a,19.8,82,86,962
шумный,a,19.7,99,95,959
криминальный,a,19.7,100,92,958
заинтересованный,a,19.7,100,89,1254
уличный,a,19.7,99,94,986
гуманитарный,a,19.6,97,89,980
худший,a,19.6,98,95,1096
академический,a,19.6,99,92,951
лошадиный,a,19.6,98,91,763
образовательный,a,19.6,75,85,775
болезненный,a,19.6,100,96,1090
грандиозный,a,19.6,98,94,1107
