Lemma,PoS,Freq(ipm),R,D,Doc
коммунальный,a,27.3,98,92,1245
роскошный,a,27.3,100,95,1194
весенний,a,27.3,100,96,1303
неизбежный,a,27.2,100,95,1472
авторский,a,27.1,99,88,1157
совершенный,a,27.1,100,91,1405
напряженный,a,27.0,100,97,1376
праздничный,a,26.8,100,96,1348
краткий,a,26.8,99,95,1462
подходящий,a,26.7,100,97,1419
неправильный,a,26.6,100,95,1432
неведомый,a,26.4,97,94,1072
бесплатный,a,26.3,100,93,1508
мудрый,a,26.3,99,95,1252
свойственный,a,26.3,100,94,1259
силовой,a,26.3,95,91,1323
ограниченный,a,26.2,100,91,1582
механический,a,26.2,100,90,1296
вкусный,a,26.2,100,93,1183
жуткий,a,26.1,98,94,1114
смелый,a,26.0,100,96,1289
тяжкий,a,26.0,99,90,1150
петербургский,a,26.0,99,87,924
жаркий,a,25.9,100,95,1232
медленный,a,25.9,100,96,1288
годовой,a,25.7,99,90,1408
христов,a,25.7,95,54,667
универсальный,a,25.7,100,90,1392
формальный,a,25.6,99,87,1202
преподобный,a,25.6,71,46,261
личной,a,25.6,99,94,1291
либеральный,a,25.5,95,89,1018
наивный,a,25.5,99,96,1135
коричневый,a,25.5,100,93,947
кровавый,a,25.5,100,95,1125
жирный,a,25.4,99,93,1018
снежный,a,25.4,99,91,915
эмоциональный,a,25.4,100,90,1163
искренний,a,25.3,99,95,1233
германский,a,25.2,97,89,804
медный,a,25.1,99,94,911
телевизионный,a,25.1,99,91,1092
пермский,a,25.1,85,86,712
римский,a,25.0,99,89,836
секретный,a,25.0,100,91,873
первоначальный,a,24.9,100,91,1344
благоприятный,a,24.9,99,92,1556
внимательный,a,24.8,100,96,1376
стальной,a,24.8,97,94,968
кремлевский,a,24.8,100,88,1007
присущий,a,24.8,99,91,1322
рядовой,a,24.7,99,95,1313
предвыборный,a,24.6,81,89,1146
скрытый,a,24.6,100,95,1232
фантастический,a,24.6,100,95,1214
безумный,a,24.5,100,94,1070
благодарный,a,24.5,100,96,1235
драгоценный,a,24.4,100,95,1103
осторожный,a,24.3,100,95,1183
обширный,a,24.2,98,94,1384
гордый,a,24.2,99,94,1137
одетый,a,24.1,99,94,1024
студенческий,a,24.1,100,93,1004
ласковый,a,24.1,97,93,975
мобильный,a,24.0,96,93,1062
решительный,a,24.0,100,96,1240
невысокий,a,24.0,100,96,1362
безопасный,a,24.0,99,92,1379
автоматический,a,24.0,99,90,1183
вольный,a,24.0,99,94,1038
прочный,a,23.9,100,95,1374
влажный,a,23.9,100,93,1003
гладкий,a,23.9,99,94,1083
дурацкий,a,23.9,93,92,907
функциональный,a,23.6,84,81,1034
решающий,a,23.5,100,94,1360
педагогический,a,23.4,100,81,822
хитрый,a,23.4,99,94,1077
заработный,a,23.4,80,78,817
смертный,a,23.3,100,94,990
геологический,a,23.3,92,79,462
преступный,a,23.3,99,91,1031
условный,a,23.3,100,92,1224
ложный,a,23.3,99,94,1088
армейский,a,23.3,99,93,923
жилищный,a,23.2,96,90,915
просторный,a,23.2,98,93,982
элементарный,a,23.2,97,89,1115
тупой,a,23.1,99,87,928
внезапный,a,23.1,99,94,934
привлекательный,a,23.1,100,94,1458
жидкий,a,23.0,100,92,1036
покойный,a,23.0,97,93,924
усталый,a,23.0,96,93,915
мясной,a,22.9,99,84,665
коренной,a,22.9,99,92,1244
скучный,a,22.8,99,95,1148
актерский,a,22.8,89,85,610
ракетный,a,22.7,91,89,660
исключительный,a,22.7,100,90,1139
